Source: Canadian Oil Sands Supply Costs and Development Projects (2010-­2044), p 40
Units: Thousand barrels per day

Announced + Awaiting Approval + Suspended + Approved + Under Construction + Onstream 
---
2010.9537576800196,1944.6153846153848
2010.3397100024577,1889.2307692307693
2010.0325813058082,1852.3076923076924
2012.760353895306,1981.5384615384612
2013.7148750716801,2009.2307692307693
2029.5897272057016,4492.307692307692
---
Suspended + Approved + Under Construction + Onstream 
---
2043.8514458917016,2969.2307692307686
2043.23802736135,2969.2307692307695
2042.3518735151963,2960
2041.5341918571312,2978.4615384615386
2039.864435160154,2987.6923076923076
2037.8196018677809,2978.461538461539
2036.1838191201768,2978.461538461538
2034.2754059146391,2978.461538461538
2032.8785942492013,3015.3846153846152
2032.1292799213566,3052.3076923076924
2030.9711247644793,3098.461538461539
2030.153862537888,3153.8461538461543
2028.6208405013517,3200
2027.9392643565168,3200
2027.019031703121,3190.7692307692314
2026.371534365528,3190.7692307692314
2025.0086966494634,3218.461538461538
2023.5090194150896,3200
2024.2929368395182,3209.2307692307695
2025.8604571147703,3200
2027.4961350045055,3190.7692307692305
2029.302311788318,3190.7692307692314
2022.9292602605062,3163.076923076923
2022.3832653395593,3098.461538461538
2021.7009551896454,3033.846153846154
2021.0525141312362,2950.769230769231
2020.2337838944868,2876.9230769230767
2019.7214483493078,2775.3846153846152
2019.1068763824035,2673.846153846154
2018.4920946997624,2553.846153846154
2017.8089456869009,2415.3846153846157
2017.1259015319079,2286.153846153846
2016.5457229458507,2212.3076923076924
2015.760861800606,2120
2015.1808929302858,2064.6153846153843
2014.3283984599,2018.4615384615383
2013.7147702138118,2000
2013.067377734087,2009.2307692307693
2012.3513033505367,1972.3076923076924
2011.9078594249202,1935.3846153846152
2011.0558892438764,1935.3846153846152
2010.4079724748096,1898.4615384615383
2010.0667649709183,1861.5384615384614
---
Approved + Under Construction + Onstream
---
2043.9502220037684,2664.6153846153857
2042.996120258868,2673.8461538461547
2041.9397820922422,2683.076923076924
2040.0994216433194,2673.846153846154
2038.7703481608912,2673.8461538461543
2036.316778897354,2683.076923076923
2035.29451953797,2692.307692307692
2034.1699188989924,2692.307692307693
2032.1259244695666,2756.923076923077
2030.8998214139428,2821.538461538461
2030.0484803801098,2876.923076923077
2029.4011927582535,2895.384615384616
2028.515143769968,2895.3846153846157
2027.526543786352,2867.692307692307
2026.8450724993857,2876.9230769230776
2025.4482608339476,2913.846153846154
2024.528237896289,2923.076923076923
2023.744215613992,2904.6153846153848
2022.652959777177,2840.0000000000005
2021.4932317522732,2747.6923076923076
2020.8445809781274,2646.153846153846
2019.9915622183994,2553.8461538461543
2019.172622265913,2461.5384615384614
2018.626627344966,2396.923076923077
2018.1489997542394,2350.769230769231
2017.6708478741705,2258.4615384615386
2017.1245383796183,2166.153846153846
2015.9648103547145,2073.846153846154
2015.2492602605062,2083.076923076923
2014.464923404604,2036.923076923077
