"Main.Project.Name";"Synonym.Project.Name";"Project.Type";"Main.Company.Name";"Synonym.Company.Name";"Company.Type"
"Joslyn";"Joslyn";"Project";"Pengrowth Energy Trust";"Pengrowth Energy Corporation";"Company"
"Joslyn";"Joslyn Creek";"Project";"Petro-Canada";"Petro-Canada";"Company"
"Joslyn";"Joslyn North Mine";"Project";"Petrobank Energy And Resources Ltd.";"Petrobank Energy And Resources Ltd.";"Company"
"Joslyn";"Joslyn South Mine";"Project";"Rio Alto Exploration";"Rio Alto Exploration";"Company"
"Kai Kos Dehseh";"Kai Kos Dehseh";"Project";"Royal Dutch Shell";"Royal Dutch Shell";"Company"
"Kearl";"Kearl";"Project";"Royal Dutch Shell";"Royal Dutch Shell plc";"Company"
"Kearl";"Kearl Lake";"Project";"Royal Dutch Shell";"Shell";"Company"
"Kirby";"Kirby";"Project";"Royal Dutch Shell";"Shell Albian Sands";"Company"
"Kirby";"Kirby North";"Project";"SilverWillow Energy Corporation";"SilverWillow Energy Corporation";"Company"
"Kirby";"Kirby South";"Project";"Southern Pacific Resource Corp.";"Southern Pacific Resource Corp.";"Company"
"Legend Lake";"Legend Lake";"Project";"Statoil";"Statoil";"Company"
"Leismer";"Leismer";"Project";"Suncor";"Suncor";"Company"
"Lewis";"Lewis";"Project";"Suncor Energy";"Suncor Energy";"Company"
"Lindbergh";"Lindbergh";"Project";"Suncor Energy";"Suncor Energy Inc.";"Company"
"Lindbergh";"Lindbergh Pilot";"Project";"Sunshine Oilsands Ltd.";"Sunshine Oilsands Ltd.";"Company"
"Long Lake";"Long Lake";"Project";"Surmont Energy Ltd.";"Surmont Energy Ltd.";"Company"
"Long Lake";"Long Lake/Nexen Canada Ltd. Long Lake South";"Project";"Syncrude";"Syncrude";"Company"
"MacKay River";"Mackay River";"Project";"Syncrude";"Syncrude Canada Ltd.";"Company"
"MacKay River";"MacKay River";"Project";"Synenco Energy";"Synenco Energy";"Company"
"MacKay River";"MacKay River Phase 1";"Project";"Teck Cominco";"Teck Resources Limited";"Company"
"May River";"May River";"Project";"Total E&P Canada Ltd.";"Total E&P Canada Ltd.";"Company"
