Source: AEUB 2005
Unit: Thousand Cubic meters per day
---
Year,Surface Mining plus In-situ
2013.0265895953758,387.37760926021025
2013.1375722543353,390.30896809700204
2013.2485549132948,392.9646495550917
2013.3595375722543,395.840872916143
2013.4705202312139,398.5516898499731
2013.5815028901734,401.48304868676473
2013.692485549133,404.13873014485455
2013.8034682080925,406.90468255442505
2013.8959537572255,409.58640197996
2014.0346820809248,408.19192062676876
---
Year,In-Situ
1995.0473988439305,24.312222501466007
1995.1583815028903,24.211130172536254
1995.2712138728323,24.61743719746059
1995.3803468208093,24.891113126522935
1995.4913294797689,24.900291749073933
1995.6023121387284,25.460825129028866
1995.6947976878612,25.578744932635452
1995.8982658959537,26.25719811619698
1995.9907514450867,26.595659822765157
1996.1202312138728,28.09502606073186
1996.2312138728323,29.537727052533015
1996.3606936416186,31.340338407071886
1996.4901734104046,32.75700143142802
1996.6011560693642,34.08943147174841
1996.7121387283237,35.64240341503039
1996.8601156069365,37.41897680212416
1996.9729479768787,38.65231596315439
1997.0450867052023,39.58455806025104
1997.193063583815,40.534099311239004
1997.3040462427746,41.1497681669344
1997.4168786127168,41.997158997781796
1997.5167630057804,42.733208037850865
1997.6554913294797,43.88047211629163
1997.7757225433527,44.77258323590146
1997.8774566473987,45.3874872063842
1997.9884393063585,45.782614159117976
1998.099421965318,45.62638635444782
1998.2104046242775,45.304752122556394
1998.3121387283236,44.982353005452495
1998.5248554913294,44.283184180716766
1998.635838150289,43.79614352160425
1998.7098265895954,43.691991651824175
1998.8763005780347,43.04413387676606
1998.9872832369942,42.55709321765355
1999.0890173410405,43.06172623665542
1999.264739884393,43.737884764579185
1999.3757225433526,44.29841814453421
1999.4589595375724,44.41557306292818
1999.6161849710982,45.09020182042677
1999.7271676300577,45.43019329742007
1999.8381502890174,45.770184774413394
1999.949132947977,46.1653117271472
2000.0601156069365,46.450167728400146
2000.1341040462428,46.45628681010083
2000.300578034682,47.13168045281205
2000.4115606936416,47.14085907536296
2000.5225433526011,47.42571507661592
2000.6335260115607,47.820842029349755
2000.7167630057804,47.8277259962629
2000.984971098266,48.51153337631259
2001.0959537572255,48.520711998863455
2001.206936416185,48.52989062141456
2001.3179190751446,48.539069243965535
2001.428901734104,48.5482478665165
2001.5398843930636,48.55742648906753
2001.6508670520232,48.56660511161859
2001.9190751445087,49.250412491668136
2002.0393063583815,49.370626950912495
2002.150289017341,50.261973185309806
2002.2612716763006,50.9327775167455
2002.4277456647399,52.21466139260096
2002.540578034682,53.00691674770809
2002.6682080924857,54.05401910756103
2002.7699421965317,54.69649081591397
2002.8901734104047,55.616169673394
2003.006705202312,56.4859206486226
2003.1121387283238,57.12318476348656
2003.2323699421966,57.96016040735601
2003.3710982658959,58.688394870169816
2003.4728323699421,59.17097369887553
2003.6115606936416,60.08666877920669
2003.713294797688,60.58027470306057
2003.8335260115607,61.31800649059731
2003.9260115606937,62.15268747882903
2004.0184971098265,62.65655561261838
2004.1849710982658,63.44222020681036
