
Source: National Energy Board - Canada's Oil Sands: A Supply and Market Outlook to 2015 
Oil Sands In-Situ
Units: Thousand cubic metres per day 
---
$22 Sensitivity
---
Year, Value
1999.642857142857,44.60860058309046
1999.3,43.37536443148694
1999.057142857143,42.961005830903865
1998.857142857143,42.95590379008752
1998.5428571428572,44.17237609329452
1998.3285714285714,44.983236151603556
1998.0714285714287,45.38483965014582
1997.8285714285714,44.56231778425661
1997.6142857142856,43.332361516035036
1997.4142857142858,41.286443148688086
1997.1285714285714,39.64650145772598
1996.9,37.19169096209912
1996.7142857142858,35.14613702623906
1996.5428571428572,33.10094752186589
1996.3,29.829446064139955
1996.0428571428572,26.965743440233233
1995.7142857142858,25.732871720116634
1995.3285714285714,24.498542274052483
1995.0857142857142,24.492346938775512
---
$14 Sensitivity
---
2014.857142857143,44.99672011661839
2014.3142857142857,45.79919825072918
2013.9857142857143,44.974489795918714
2013.4285714285713,45.368440233236385
2012.7857142857142,45.35204081632676
